variant_label,family_action,variant_reife_state,event_reward_sum,symbol_family,action,freshness_state,source_count,episode_count,run_count,outcome_events,avg_event_reward,phase_time_states,avg_phase_distance,avg_binding_pressure,avg_release_pressure,related_reference_family,related_reference_action,related_reference_outcome,transfer_reife_state,transfer_reife,transfer_similarity,transfer_event_relation,passive_only,writes_training_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,variant_reife_sentence,source_variant_map
probe16_f2,dio_04zi:WAIT,variant_local_wait_context,0.0,dio_04zi,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_04zi:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.,debug\dio_mini_passive_variant_reife_map_probe16_followup2_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe16_f2,dio_06bd:WAIT,variant_local_wait_context,0.0,dio_06bd,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_06bd:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.,debug\dio_mini_passive_variant_reife_map_probe16_followup2_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe16_f2,dio_0fa9:WAIT,variant_local_wait_context,0.0,dio_0fa9,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_0fa9:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.,debug\dio_mini_passive_variant_reife_map_probe16_followup2_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe16_f2,dio_0ojr:WAIT,variant_local_wait_context,0.0,dio_0ojr,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_0ojr:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.,debug\dio_mini_passive_variant_reife_map_probe16_followup2_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe16_f2,dio_0rb2:WAIT,variant_local_wait_context,0.0,dio_0rb2,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,different_contact_afterimage:1|no_prior_phase:2,0.778908,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_0rb2:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.,debug\dio_mini_passive_variant_reife_map_probe16_followup2_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe16_f2,dio_10kx:WAIT,variant_local_wait_context,0.0,dio_10kx,WAIT,fresh_local_episode_trace,1,2,2,NO_TRADE:2,0.0,no_prior_phase:2,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_10kx:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.,debug\dio_mini_passive_variant_reife_map_probe16_followup2_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe16_f2,dio_1f4v:WAIT,variant_local_wait_context,0.0,dio_1f4v,WAIT,fresh_local_episode_trace,1,2,2,NO_TRADE:2,0.0,no_prior_phase:2,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1f4v:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.,debug\dio_mini_passive_variant_reife_map_probe16_followup2_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe16_f2,dio_1g7l:WAIT,variant_local_wait_context,0.0,dio_1g7l,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1g7l:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.,debug\dio_mini_passive_variant_reife_map_probe16_followup2_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe16_f2,dio_1jo7:WAIT,variant_local_wait_context,0.0,dio_1jo7,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:2|separated_observation_contact:1,0.809937,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1jo7:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.,debug\dio_mini_passive_variant_reife_map_probe16_followup2_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe16_f2,dio_1q9b:WAIT,variant_local_wait_context,0.0,dio_1q9b,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,different_contact_afterimage:1|no_prior_phase:2,0.76827,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1q9b:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.,debug\dio_mini_passive_variant_reife_map_probe16_followup2_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe16_f2,dio_1qig:WAIT,variant_local_wait_context,0.0,dio_1qig,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1qig:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.,debug\dio_mini_passive_variant_reife_map_probe16_followup2_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe16_f2,dio_1t73:WAIT,variant_local_wait_context,0.0,dio_1t73,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,different_contact_afterimage:1|no_prior_phase:2,0.743562,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1t73:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.,debug\dio_mini_passive_variant_reife_map_probe16_followup2_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe16_f2,dio_1vjg:WAIT,variant_local_wait_context,0.0,dio_1vjg,WAIT,fresh_local_episode_trace,1,2,2,NO_TRADE:2,0.0,no_prior_phase:2,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1vjg:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.,debug\dio_mini_passive_variant_reife_map_probe16_followup2_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe16_f2,dio_1w4m:WAIT,variant_local_wait_context,0.0,dio_1w4m,WAIT,fresh_local_episode_trace,1,5,3,NO_TRADE:5,0.0,no_prior_phase:4|separated_observation_contact:1,0.845431,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1w4m:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.,debug\dio_mini_passive_variant_reife_map_probe16_followup2_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe16_f2,dio_0cgn:WAIT,variant_related_observation_trace,0.0,dio_0cgn,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,dio_1txv,SHORT,TP,transfer_reife_open,0.490049799,0.965920524,positive_to_neutral,1,0,0,0,0,0,"dio_0cgn:WAIT: Die Variante ist verwandt mit dio_1txv (similarity=0.965921), bleibt aber Beobachtung.",debug\dio_mini_passive_variant_reife_map_probe16_followup2_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe16_f2,dio_0vc8:WAIT,variant_related_observation_trace,0.0,dio_0vc8,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,dio_0arw,LONG,TP,transfer_reife_open,0.46798704,0.907860632,positive_to_neutral,1,0,0,0,0,0,"dio_0vc8:WAIT: Die Variante ist verwandt mit dio_0arw (similarity=0.907861), bleibt aber Beobachtung.",debug\dio_mini_passive_variant_reife_map_probe16_followup2_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe16_f2,dio_1k0r:WAIT,variant_related_observation_trace,0.0,dio_1k0r,WAIT,fresh_local_episode_trace,1,2,2,NO_TRADE:2,0.0,no_prior_phase:2,1.0,0.0,1.0,dio_02qu,LONG,TP,transfer_reife_open,0.406370161,0.911500425,positive_to_negative,1,0,0,0,0,0,"dio_1k0r:WAIT: Die Variante ist verwandt mit dio_02qu (similarity=0.911500), bleibt aber Beobachtung.",debug\dio_mini_passive_variant_reife_map_probe16_followup2_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe16_f2,dio_1k0r:LONG,variant_self_burden_action_trace,-1.0,dio_1k0r,LONG,fresh_local_episode_trace,1,1,1,SL:1,-1.0,no_prior_phase:1,1.0,0.0,1.0,dio_02qu,LONG,TP,transfer_reife_open,0.406370161,0.911500425,positive_to_negative,1,0,0,0,0,0,dio_1k0r:LONG: Die Variante belastet diese Handlung aus eigener Konsequenz; reward=-1.000000.,debug\dio_mini_passive_variant_reife_map_probe16_followup2_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe17_f3,dio_0120:WAIT,variant_local_wait_context,0.0,dio_0120,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,active_afterimage_contact:3,0.407697,0.596279,0.289306,,,,,0.0,0.0,,1,0,0,0,0,0,dio_0120:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.,debug\dio_mini_passive_variant_reife_map_probe17_followup3_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe17_f3,dio_10dk:WAIT,variant_local_wait_context,0.0,dio_10dk,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_10dk:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.,debug\dio_mini_passive_variant_reife_map_probe17_followup3_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe17_f3,dio_1d1z:WAIT,variant_local_wait_context,0.0,dio_1d1z,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1d1z:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.,debug\dio_mini_passive_variant_reife_map_probe17_followup3_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe17_f3,dio_1f9y:WAIT,variant_local_wait_context,0.0,dio_1f9y,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,different_contact_afterimage:3,0.359538,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1f9y:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.,debug\dio_mini_passive_variant_reife_map_probe17_followup3_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe17_f3,dio_143d:WAIT,variant_related_observation_trace,0.0,dio_143d,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,different_contact_afterimage:3,0.394757,0.0,1.0,dio_14xc,WAIT,NO_TRADE,transfer_reife_quiet_same_consequence,0.903487085,0.982860751,neutral_to_neutral,1,0,0,0,0,0,"dio_143d:WAIT: Die Variante ist verwandt mit dio_14xc (similarity=0.982861), bleibt aber Beobachtung.",debug\dio_mini_passive_variant_reife_map_probe17_followup3_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe17_f3,dio_1c6b:WAIT,variant_related_observation_trace,0.0,dio_1c6b,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,dio_1txv,SHORT,TP,transfer_reife_open,0.500622741,0.993744055,positive_to_neutral,1,0,0,0,0,0,"dio_1c6b:WAIT: Die Variante ist verwandt mit dio_1txv (similarity=0.993744), bleibt aber Beobachtung.",debug\dio_mini_passive_variant_reife_map_probe17_followup3_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe17_f3,dio_1d3r:WAIT,variant_related_observation_trace,0.0,dio_1d3r,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,dio_0arw,LONG,TP,transfer_reife_open,0.420484664,0.78285438,positive_to_neutral,1,0,0,0,0,0,"dio_1d3r:WAIT: Die Variante ist verwandt mit dio_0arw (similarity=0.782854), bleibt aber Beobachtung.",debug\dio_mini_passive_variant_reife_map_probe17_followup3_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe17_f3,dio_1m4n:WAIT,variant_related_observation_trace,0.0,dio_1m4n,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,different_contact_afterimage:3,0.389568,0.0,1.0,dio_1vpi,SHORT,TP,transfer_reife_open,0.494182048,0.976794864,positive_to_neutral,1,0,0,0,0,0,"dio_1m4n:WAIT: Die Variante ist verwandt mit dio_1vpi (similarity=0.976795), bleibt aber Beobachtung.",debug\dio_mini_passive_variant_reife_map_probe17_followup3_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe17_f3,dio_0n9e:LONG,variant_self_carried_action_trace,3.0,dio_0n9e,LONG,fresh_local_episode_trace,1,3,3,TP:3,1.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_0n9e:LONG: Die Variante traegt diese Handlung aus eigener Konsequenz; reward=3.000000.,debug\dio_mini_passive_variant_reife_map_probe17_followup3_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
probe17_f3,dio_1k7y:LONG,variant_self_carried_action_trace,3.0,dio_1k7y,LONG,fresh_local_episode_trace,1,3,3,TP:3,1.0,executed_temporal_contact:3,0.552587,0.0,1.0,dio_02qu,LONG,TP,transfer_reife_carried_same_consequence,0.90037238,0.737822053,positive_to_positive,1,0,0,0,0,0,dio_1k7y:LONG: Die Variante traegt diese Handlung aus eigener Konsequenz; reward=3.000000.,debug\dio_mini_passive_variant_reife_map_probe17_followup3_from_probe18_12n\dio_mini_passive_variant_reife_map.csv
