family,trace_notes,phases,phase_count,dominant_transition,executed_runs,observed_runs,held_runs,raw_runs,reward_sum,reward_per_executed_run,avg_visual_mcm_alignment_trace,avg_tone_tension_resonance_trace,sensor_relation_count,bearing_neighbor_count,same_family_relation_count,max_sensor_relation_trace
dio_0nmi,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift,1,observation_to_execution,1,1,0,1,2.0,2.0,0.973671,0.942918,9,3,0,0.971491
dio_0f4h,ausgefuehrt|positive_konsequenz|sensorische_nachbarn,order_shift,1,persistent_execution,1,0,0,1,2.0,2.0,0.994056,0.939385,9,3,0,0.966829
dio_1r0b,ausgefuehrt|positive_konsequenz,shift,1,persistent_execution,2,0,0,2,1.959404,0.979702,0.866835,0.603844,7,0,0,0.941051
dio_1h5i,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift,1,observation_to_execution,1,2,0,1,1.652416,1.652416,0.966362,0.976322,9,3,0,0.964104
dio_0ga4,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe,1,observation_to_execution,1,2,0,1,1.355456,1.355456,0.995353,0.925447,7,4,0,0.968999
dio_15th,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift_drift,1,observation_to_execution,1,2,0,1,1.296838,1.296838,0.962733,0.943116,7,4,0,0.946502
dio_1tzc,ausgefuehrt|beobachtet|positive_konsequenz,order_shift_resonanz,1,observation_to_execution,1,2,0,1,1.238489,1.238489,0.968545,0.794705,1,0,0,0.889629
dio_0cn1,ausgefuehrt|beobachtet|positive_konsequenz,order_shift_resonanz,1,observation_to_execution,1,3,0,1,1.191733,1.191733,0.935847,0.617204,1,0,0,0.875335
dio_1sxo,ausgefuehrt|beobachtet|positive_konsequenz,order_shift_varianz,1,observation_to_execution,1,1,0,1,0.993834,0.993834,0.801728,0.952709,8,0,0,0.956353
dio_1erd,ausgefuehrt|beobachtet|positive_konsequenz,sensor_relation_probe,1,observation_to_execution,1,3,0,1,0.979017,0.979017,0.85857,0.848864,1,0,0,0.925491
dio_1e6y,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift_drift,1,observation_to_execution,1,3,0,1,0.941453,0.941453,0.983794,0.873401,3,1,0,0.972807
dio_17tf,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe,1,observation_to_execution,1,3,0,1,0.745509,0.745509,0.984275,0.8626,6,4,0,0.94477
dio_0odx,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,shift,1,observation_to_execution,2,2,0,2,0.520934,0.260467,0.911981,0.777749,16,2,0,0.959221
dio_1mml,ausgefuehrt|positive_konsequenz,shift,1,persistent_execution,1,0,0,1,0.237245,0.237245,0.912398,0.578349,2,0,0,0.932138
dio_08wa,beobachtet,order_shift,1,stable_observation,0,4,0,0,0.0,0.0,0.886663,0.597352,4,0,0,0.951303
dio_1wwt,beobachtet,order_shift,1,stable_observation,0,4,0,0,0.0,0.0,0.967863,0.837527,4,0,0,0.949689
dio_151h,beobachtet,order_shift_varianz,1,stable_observation,0,4,0,0,0.0,0.0,0.884571,0.606009,10,0,0,0.958735
dio_0my4,beobachtet,order_shift_drift,1,stable_observation,0,4,0,0,0.0,0.0,0.925599,0.626393,4,0,0,0.942697
dio_0wp4,beobachtet,order_shift_resonanz,1,stable_observation,0,4,0,0,0.0,0.0,0.968749,0.686088,6,0,0,0.929766
dio_1527,beobachtet,sensor_relation_probe,1,stable_observation,0,4,0,0,0.0,0.0,0.856648,0.735256,6,0,0,0.911734
dio_0knp,beobachtet,order_shift,1,stable_observation,0,3,0,0,0.0,0.0,0.891968,0.581614,5,0,0,0.945925
dio_066x,beobachtet,order_shift_varianz,1,stable_observation,0,3,0,0,0.0,0.0,0.958834,0.761113,3,0,0,0.949689
dio_0iy2,beobachtet,order_shift_varianz,1,stable_observation,0,3,0,0,0.0,0.0,0.869638,0.512876,4,0,0,0.951303
dio_1nnb,beobachtet,sensor_relation_probe,1,stable_observation,0,3,0,0,0.0,0.0,0.997168,0.876428,13,0,0,0.977622
dio_0t45,beobachtet|nachhall_gehalten,shift,1,raw_pressure_held,0,2,2,2,0.0,0.0,0.802869,0.898277,2,0,0,0.925491
dio_01yf,beobachtet,order_shift,1,stable_observation,0,2,0,0,0.0,0.0,0.887382,0.960196,11,0,0,0.983548
dio_0d07,beobachtet,order_shift,1,stable_observation,0,2,0,0,0.0,0.0,0.931789,0.685012,4,0,0,0.9533
dio_0nvr,beobachtet,order_shift,1,stable_observation,0,2,0,0,0.0,0.0,0.802968,0.77327,10,0,0,0.952941
dio_185j,beobachtet,order_shift,1,stable_observation,0,2,0,0,0.0,0.0,0.914525,0.723199,16,0,0,0.955845
dio_1i0f,beobachtet,order_shift,1,stable_observation,0,2,0,0,0.0,0.0,0.813847,0.893742,10,0,0,0.956353
dio_0q8z,beobachtet,order_shift_varianz,1,stable_observation,0,2,0,0,0.0,0.0,0.865405,0.971465,11,0,0,0.975082
dio_18je,beobachtet,order_shift_drift,1,stable_observation,0,2,0,0,0.0,0.0,0.863906,0.956565,12,0,0,0.975082
dio_1gz3,beobachtet,order_shift_drift,1,stable_observation,0,2,0,0,0.0,0.0,0.916012,0.526425,3,0,0,0.932138
dio_1k0r,beobachtet,order_shift_drift,1,stable_observation,0,2,0,0,0.0,0.0,0.961523,0.934322,9,0,0,0.973482
dio_1pyo,beobachtet,order_shift_drift,1,stable_observation,0,2,0,0,0.0,0.0,0.980249,0.836087,6,0,0,0.853775
dio_1xdw,beobachtet,order_shift_drift,1,stable_observation,0,2,0,0,0.0,0.0,0.751548,0.871649,7,0,0,0.951729
dio_1y8o,beobachtet,order_shift_drift,1,stable_observation,0,2,0,0,0.0,0.0,0.788627,0.766389,6,0,0,0.965213
dio_0i2c,beobachtet,order_shift_resonanz,1,stable_observation,0,2,0,0,0.0,0.0,0.762852,0.797887,8,0,0,0.966158
dio_0jjv,beobachtet,order_shift_resonanz,1,stable_observation,0,2,0,0,0.0,0.0,0.775809,0.919864,7,0,0,0.953513
dio_0mlh,beobachtet,order_shift_resonanz,1,stable_observation,0,2,0,0,0.0,0.0,0.975177,0.879312,13,0,0,0.928133
dio_0ppq,beobachtet,order_shift_resonanz,1,stable_observation,0,2,0,0,0.0,0.0,0.947663,0.79023,9,0,0,0.894186
dio_134j,beobachtet,order_shift_resonanz,1,stable_observation,0,2,0,0,0.0,0.0,0.994613,0.99222,3,0,0,0.946502
dio_13ld,beobachtet,order_shift_resonanz,1,stable_observation,0,2,0,0,0.0,0.0,0.984223,0.987173,5,0,0,0.95491
dio_1gj1,beobachtet,order_shift_resonanz,1,stable_observation,0,2,0,0,0.0,0.0,0.894,0.952865,11,0,0,0.983548
dio_1iwu,beobachtet,order_shift_resonanz,1,stable_observation,0,2,0,0,0.0,0.0,0.760835,0.58095,5,0,0,0.908246
dio_1l8g,beobachtet,order_shift_resonanz,1,stable_observation,0,2,0,0,0.0,0.0,0.850925,0.611224,2,0,0,0.902258
dio_1sgx,beobachtet,order_shift_resonanz,1,stable_observation,0,2,0,0,0.0,0.0,0.941356,0.88279,9,0,0,0.973482
dio_1hcy,beobachtet,sensor_relation_probe,1,stable_observation,0,2,0,0,0.0,0.0,0.998683,0.923777,9,0,0,0.927338
dio_1nlc,beobachtet,sensor_relation_probe,1,stable_observation,0,2,0,0,0.0,0.0,0.980042,0.947923,9,0,0,0.972013
dio_1xmg,beobachtet,sensor_relation_probe,1,stable_observation,0,2,0,0,0.0,0.0,0.974364,0.897364,9,0,0,0.969962
dio_1h37,beobachtet,shift,1,stable_observation,0,1,0,0,0.0,0.0,0.882719,0.681865,6,0,0,0.957814
dio_1hjj,beobachtet|nachhall_gehalten,shift,1,raw_pressure_held,0,1,1,1,0.0,0.0,0.839268,0.706363,1,0,0,0.834426
dio_018g,beobachtet,order_shift,1,stable_observation,0,1,0,0,0.0,0.0,0.887779,0.66456,11,0,0,1.0
dio_1j0n,beobachtet,order_shift,1,stable_observation,0,1,0,0,0.0,0.0,0.968496,0.848788,14,0,0,0.972642
dio_0mp4,beobachtet,order_shift_varianz,1,stable_observation,0,1,0,0,0.0,0.0,0.769624,0.79681,8,0,0,0.966158
dio_0r8e,beobachtet,order_shift_varianz,1,stable_observation,0,1,0,0,0.0,0.0,0.878643,0.701743,6,0,0,0.957814
dio_0786,beobachtet,order_shift_drift,1,stable_observation,0,1,0,0,0.0,0.0,0.910104,0.71572,15,0,0,0.98224
dio_0p6m,beobachtet,sensor_relation_probe,1,stable_observation,0,1,0,0,0.0,0.0,0.829174,0.614457,4,0,0,0.945925
dio_13ud,beobachtet,sensor_relation_probe,1,stable_observation,0,1,0,0,0.0,0.0,0.986142,0.927373,4,0,0,0.95491
dio_15fd,beobachtet,sensor_relation_probe,1,stable_observation,0,1,0,0,0.0,0.0,0.985665,0.725183,2,0,0,0.889629
dio_0lt6,ausgefuehrt|belastete_konsequenz,order_shift_drift,1,persistent_execution,1,0,0,1,-0.249492,-0.249492,0.889309,0.536721,7,0,0,0.941051
dio_00eh,ausgefuehrt|beobachtet|belastete_konsequenz,order_shift,1,execution_to_nonexecution,1,1,0,1,-0.431148,-0.431148,0.887779,0.66456,11,0,0,1.0
