target_family,reference_family,neighbor_consequence_state,sensor_distance,sensor_similarity,target_reward_sum,reference_reward_sum,target_executed_rows,target_observed_rows,reference_executed_rows,reference_observed_rows,target_class,reference_class,target_phases,reference_phases
dio_14mj,dio_14wi,reifende_verwandtschaft,0.017364,0.982636,7.185447,4.496005,9,3,5,3,matured_action_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_14mj,dio_0x52,reifende_verwandtschaft,0.028501,0.971499,7.185447,3.99281,9,3,5,3,matured_action_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_1tik,dio_0a54,reifende_verwandtschaft,0.104724,0.895276,3.63996,3.445308,8,4,6,4,direct_mature_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_14mj,dio_09jn,reifende_verwandtschaft,0.329257,0.670743,7.185447,4.693512,9,3,15,5,matured_action_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_1tik,dio_0nmi,reifende_verwandtschaft,0.384794,0.615206,3.63996,6.770993,8,4,4,1,direct_mature_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","order_shift,sensor_relation_probe2"
dio_1tik,dio_0qb3,reifende_verwandtschaft,0.470357,0.529643,3.63996,5.353388,8,4,9,3,direct_mature_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation"
dio_0xgj,dio_0nmi,beobachtete_verwandtschaft,0.092204,0.907796,0.0,6.770993,0,12,4,1,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5_repeat,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","order_shift,sensor_relation_probe2"
dio_1kqv,dio_09jn,beobachtete_verwandtschaft,0.113465,0.886535,0.0,4.693512,0,20,15,5,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_0kpn,dio_0nmi,beobachtete_verwandtschaft,0.11504,0.88496,0.0,6.770993,0,12,4,1,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","order_shift,sensor_relation_probe2"
dio_1kqv,dio_1vm7,beobachtete_verwandtschaft,0.260959,0.739041,0.0,3.554517,0,20,3,2,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_1kqv,dio_14mj,beobachtete_verwandtschaft,0.282508,0.717492,0.0,7.185447,0,20,9,3,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_0xgj,dio_0x52,beobachtete_verwandtschaft,0.429333,0.570667,0.0,3.99281,0,12,5,3,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5_repeat,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_0xgj,dio_14wi,beobachtete_verwandtschaft,0.432841,0.567159,0.0,4.496005,0,12,5,3,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5_repeat,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_0kpn,dio_0x52,beobachtete_verwandtschaft,0.443994,0.556006,0.0,3.99281,0,12,5,3,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_0kpn,dio_09jn,beobachtete_verwandtschaft,0.447618,0.552382,0.0,4.693512,0,12,15,5,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
