family,rows,runs,states,trades,tp,sl,reward_sum,max_afterimage,max_recurrence_strength,max_temporal_trust_support,max_temporal_caution_support,avg_time_distance,memory_seen_count,memory_last_state,memory_max_afterimage,memory_max_trust_support,memory_max_caution_support
dio_16in,10,"[1, 2, 3, 4]","{'temporal_first_contact': 4, 'temporal_near_return': 3, 'temporal_far_return': 3}",2,2,0,2.0,0.162202,0.285714,0.657096,0.72,0.5374999,10,temporal_first_contact,0.1622023529411765,0.6570961482795604,0.72
dio_04jy,2,[4],"{'temporal_first_contact': 1, 'temporal_near_return': 1}",0,0,0,0.0,0.112,0.166667,0.63221,0.72,0.5416665,2,temporal_near_return,0.11200000000000002,0.6322095066538143,0.72
dio_049y,4,"[1, 2]","{'temporal_first_contact': 2, 'temporal_near_return': 2}",0,0,0,0.0,0.112,0.166667,0.632201,0.72,0.5416665,4,temporal_near_return,0.11200000000000002,0.6322005960219658,0.72
dio_1bgr,7,"[1, 2, 3, 4]","{'temporal_first_contact': 4, 'temporal_near_return': 3}",0,0,0,0.0,0.112,0.166667,0.627587,0.72,0.6071427142857144,7,temporal_first_contact,0.11200000000000002,0.6275868561696039,0.72
dio_02jf,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_161r,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_0jso,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_17o5,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_1u7q,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_06c2,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_0635,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_15vo,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_018g,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_02tu,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_194c,4,"[1, 2, 3, 4]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
