target_family,reference_family,neighbor_consequence_state,sensor_distance,sensor_similarity,target_reward_sum,reference_reward_sum,target_executed_rows,target_observed_rows,reference_executed_rows,reference_observed_rows,target_class,reference_class,target_phases,reference_phases
dio_0wv3,dio_0x52,reifende_verwandtschaft,0.032409,0.967591,0.947695,3.99281,1,3,5,3,local_observation_to_action,matured_action_pattern,sensor_relation_probe6_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_1nlc,dio_0nmi,reifende_verwandtschaft,0.036299,0.963701,2.666613,6.770993,3,0,4,1,local_direct_action,matured_action_pattern,sensor_relation_probe6_variation,"order_shift,sensor_relation_probe2"
dio_07wx,dio_1tik,reifende_verwandtschaft,0.042244,0.957756,0.758933,3.63996,1,3,8,4,local_observation_to_action,direct_mature_pattern,sensor_relation_probe6_variation,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_0wv3,dio_14wi,reifende_verwandtschaft,0.044853,0.955147,0.947695,4.496005,1,3,5,3,local_observation_to_action,matured_action_pattern,sensor_relation_probe6_variation,"sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_0wv3,dio_14mj,reifende_verwandtschaft,0.059774,0.940226,0.947695,7.185447,1,3,9,3,local_observation_to_action,matured_action_pattern,sensor_relation_probe6_variation,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_1vpi,dio_1vm7,reifende_verwandtschaft,0.073577,0.926423,2.597526,3.554517,2,2,3,2,local_observation_to_action,matured_action_pattern,sensor_relation_probe6_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_07wx,dio_0a54,reifende_verwandtschaft,0.110217,0.889783,0.758933,3.445308,1,3,6,4,local_observation_to_action,matured_action_pattern,sensor_relation_probe6_variation,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_1vpi,dio_09jn,reifende_verwandtschaft,0.160278,0.839722,2.597526,4.693512,2,2,15,5,local_observation_to_action,matured_action_pattern,sensor_relation_probe6_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_01nr,dio_1d6j,reifende_verwandtschaft,0.226172,0.773828,1.340779,4.768065,1,3,5,3,observation_maturing_pattern,matured_action_pattern,"sensor_relation_probe2,sensor_relation_probe6_variation","order_shift,order_shift_varianz"
dio_01nr,dio_0qb3,reifende_verwandtschaft,0.299534,0.700466,1.340779,5.353388,1,3,9,3,observation_maturing_pattern,matured_action_pattern,"sensor_relation_probe2,sensor_relation_probe6_variation","sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation"
dio_1vpi,dio_0x52,reifende_verwandtschaft,0.308598,0.691402,2.597526,3.99281,2,2,5,3,local_observation_to_action,matured_action_pattern,sensor_relation_probe6_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_07wx,dio_0nmi,reifende_verwandtschaft,0.379815,0.620185,0.758933,6.770993,1,3,4,1,local_observation_to_action,matured_action_pattern,sensor_relation_probe6_variation,"order_shift,sensor_relation_probe2"
dio_1nlc,dio_1tik,reifende_verwandtschaft,0.397421,0.602579,2.666613,3.63996,3,0,8,4,local_direct_action,direct_mature_pattern,sensor_relation_probe6_variation,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_1nlc,dio_0x52,reifende_verwandtschaft,0.428451,0.571549,2.666613,3.99281,3,0,5,3,local_direct_action,matured_action_pattern,sensor_relation_probe6_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_01nr,dio_0nmi,reifende_verwandtschaft,0.477671,0.522329,1.340779,6.770993,1,3,4,1,observation_maturing_pattern,matured_action_pattern,"sensor_relation_probe2,sensor_relation_probe6_variation","order_shift,sensor_relation_probe2"
dio_1kqv,dio_09jn,beobachtete_verwandtschaft,0.113465,0.886535,0.0,4.693512,0,20,15,5,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_0kpn,dio_0nmi,beobachtete_verwandtschaft,0.115408,0.884592,0.0,6.770993,0,13,4,1,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat,sensor_relation_probe6_variation","order_shift,sensor_relation_probe2"
dio_1kqv,dio_1vm7,beobachtete_verwandtschaft,0.260959,0.739041,0.0,3.554517,0,20,3,2,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_1kqv,dio_14mj,beobachtete_verwandtschaft,0.282508,0.717492,0.0,7.185447,0,20,9,3,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_0kpn,dio_0x52,beobachtete_verwandtschaft,0.444189,0.555811,0.0,3.99281,0,13,5,3,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat,sensor_relation_probe6_variation","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_0kpn,dio_09jn,beobachtete_verwandtschaft,0.447227,0.552773,0.0,4.693512,0,13,15,5,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat,sensor_relation_probe6_variation","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
