target_family,reference_family,neighbor_consequence_state,sensor_distance,sensor_similarity,target_reward_sum,reference_reward_sum,target_executed_rows,target_observed_rows,reference_executed_rows,reference_observed_rows,target_class,reference_class,target_phases,reference_phases
dio_0wv3,dio_0x52,reifende_verwandtschaft,0.032733,0.967267,3.940907,3.99281,5,3,5,3,matured_action_pattern,matured_action_pattern,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_0wv3,dio_14wi,reifende_verwandtschaft,0.04513,0.95487,3.940907,4.496005,5,3,5,3,matured_action_pattern,matured_action_pattern,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung","sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_0wv3,dio_14mj,reifende_verwandtschaft,0.060008,0.939992,3.940907,7.185447,5,3,9,3,matured_action_pattern,matured_action_pattern,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_19i4,dio_0qb3,reifende_verwandtschaft,0.121718,0.878282,0.860328,5.353388,1,3,9,3,local_observation_to_action,matured_action_pattern,sensor_relation_probe7_belastung,"sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation"
dio_0u8f,dio_1tik,reifende_verwandtschaft,0.161384,0.838616,0.99229,3.63996,1,3,8,4,local_observation_to_action,direct_mature_pattern,sensor_relation_probe7_belastung,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_19i4,dio_1d6j,reifende_verwandtschaft,0.173131,0.826869,0.860328,4.768065,1,3,5,3,local_observation_to_action,matured_action_pattern,sensor_relation_probe7_belastung,"order_shift,order_shift_varianz"
dio_0u8f,dio_0a54,reifende_verwandtschaft,0.227969,0.772031,0.99229,3.445308,1,3,6,4,local_observation_to_action,matured_action_pattern,sensor_relation_probe7_belastung,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_0u8f,dio_0nmi,reifende_verwandtschaft,0.383399,0.616601,0.99229,6.770993,1,3,4,1,local_observation_to_action,matured_action_pattern,sensor_relation_probe7_belastung,"order_shift,sensor_relation_probe2"
dio_19i4,dio_0nmi,reifende_verwandtschaft,0.423271,0.576729,0.860328,6.770993,1,3,4,1,local_observation_to_action,matured_action_pattern,sensor_relation_probe7_belastung,"order_shift,sensor_relation_probe2"
dio_19p6,dio_0a54,beobachtete_verwandtschaft,0.09111,0.90889,0.0,3.445308,0,4,6,4,held_observation_pattern,matured_action_pattern,sensor_relation_probe7_belastung,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_1kqv,dio_09jn,beobachtete_verwandtschaft,0.113465,0.886535,0.0,4.693512,0,20,15,5,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_19p6,dio_1tik,beobachtete_verwandtschaft,0.15649,0.84351,0.0,3.63996,0,4,8,4,held_observation_pattern,direct_mature_pattern,sensor_relation_probe7_belastung,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_1kqv,dio_1vm7,beobachtete_verwandtschaft,0.260959,0.739041,0.0,3.554517,0,20,3,2,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_1kqv,dio_14mj,beobachtete_verwandtschaft,0.282508,0.717492,0.0,7.185447,0,20,9,3,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_1h5y,dio_1tik,beobachtete_verwandtschaft,0.3971,0.6029,0.0,3.63996,0,4,8,4,held_observation_pattern,direct_mature_pattern,sensor_relation_probe7_belastung,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_1h5y,dio_0a54,beobachtete_verwandtschaft,0.404498,0.595502,0.0,3.445308,0,4,6,4,held_observation_pattern,matured_action_pattern,sensor_relation_probe7_belastung,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_1h5y,dio_0nmi,beobachtete_verwandtschaft,0.476685,0.523315,0.0,6.770993,0,4,4,1,held_observation_pattern,matured_action_pattern,sensor_relation_probe7_belastung,"order_shift,sensor_relation_probe2"
dio_19p6,dio_0nmi,beobachtete_verwandtschaft,0.527901,0.472099,0.0,6.770993,0,4,4,1,held_observation_pattern,matured_action_pattern,sensor_relation_probe7_belastung,"order_shift,sensor_relation_probe2"
