symbol_family,validation_result_state,candidate_state,validation_seen,lupe_count,lupe_world_count,best_actions,stable_fields,variant_fields,inner_states,reflection_states,passive_reflection_note_state,emergence_reading,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_0u1i,candidate_not_seen_in_validation_world,candidate_action_withholding_split_reflection,False,6,3,SHORT,sehen_form_stability|fuehlen_mcm_coherence|fuehlen_mcm_tension|reflection_context_carry|reflection_context_strain,,inner_action_withholding_split,reflection_context_carried,passive_reflection_note_stable_field_and_direction,stable_form_field_direction_candidate,True,False,False,False,False,False,False,False
dio_0x52,candidate_recurred_with_passive_withholding,candidate_stable_overcautious_reflection,True,6,3,LONG|SHORT,sehen_form_stability|fuehlen_mcm_coherence,reflection_context_carry|reflection_context_alignment,inner_overcautious_carrying_pressure,reflection_context_carried|reflection_context_unloaded,passive_reflection_note_stable_field_unstable_direction,emergence_candidate_form_field_without_direction,True,False,False,False,False,False,False,False
dio_12jm,candidate_not_seen_in_validation_world,candidate_stable_overcautious_reflection,False,6,3,LONG,sehen_form_stability|hoeren_energy_tone|fuehlen_mcm_coherence|fuehlen_mcm_tension|reflection_context_carry|reflection_context_strain,,inner_overcautious_carrying_pressure,reflection_context_carried|reflection_context_cautious,passive_reflection_note_stable_field_and_direction,stable_form_field_direction_candidate,True,False,False,False,False,False,False,False
dio_14jl,candidate_not_seen_in_validation_world,candidate_stable_cautious_reflection,False,6,3,LONG,sehen_form_stability|hoeren_energy_tone|fuehlen_mcm_coherence|fuehlen_mcm_tension|reflection_context_carry|reflection_context_strain,,inner_cautious_potential,reflection_context_cautious,passive_reflection_note_stable_field_and_direction,stable_form_field_direction_candidate,True,False,False,False,False,False,False,False
dio_15ms,candidate_not_seen_in_validation_world,candidate_stable_overcautious_reflection,False,4,2,SHORT,sehen_form_stability|hoeren_energy_tone|fuehlen_mcm_coherence|fuehlen_mcm_tension|reflection_context_carry|reflection_context_strain,,inner_overcautious_carrying_pressure,reflection_context_carried,passive_reflection_note_stable_field_and_direction,stable_form_field_direction_candidate,True,False,False,False,False,False,False,False
dio_173s,candidate_not_seen_in_validation_world,candidate_context_dependent_reflection,False,4,2,SHORT,sehen_form_stability|hoeren_energy_tone|fuehlen_mcm_coherence|fuehlen_mcm_tension|reflection_context_carry|reflection_context_strain|reflection_context_alignment,,inner_context_dependent_withholding,reflection_context_cautious,passive_reflection_note_stable_field_and_direction,stable_form_field_direction_candidate,True,False,False,False,False,False,False,False
dio_199c,candidate_not_seen_in_validation_world,candidate_stable_overcautious_reflection,False,4,2,LONG,sehen_form_stability|hoeren_energy_tone|fuehlen_mcm_coherence|fuehlen_mcm_tension|reflection_context_carry|reflection_context_strain,,inner_overcautious_carrying_pressure,reflection_context_carried,passive_reflection_note_stable_field_and_direction,stable_form_field_direction_candidate,True,False,False,False,False,False,False,False
dio_1g18,candidate_not_seen_in_validation_world,candidate_stable_cautious_reflection,False,4,2,SHORT,sehen_form_stability|hoeren_energy_tone|fuehlen_mcm_coherence|fuehlen_mcm_tension|reflection_context_carry|reflection_context_strain,,inner_cautious_potential,reflection_context_cautious,passive_reflection_note_stable_field_and_direction,stable_form_field_direction_candidate,True,False,False,False,False,False,False,False
dio_1guc,candidate_not_seen_in_validation_world,candidate_stable_overcautious_reflection,False,8,4,LONG,sehen_form_stability|fuehlen_mcm_coherence|reflection_context_carry|reflection_context_strain,,inner_overcautious_carrying_pressure,reflection_context_carried,passive_reflection_note_stable_field_and_direction,stable_form_field_direction_candidate,True,False,False,False,False,False,False,False
dio_1gxl,candidate_not_seen_in_validation_world,candidate_stable_overcautious_reflection,False,4,2,SHORT,sehen_form_stability|hoeren_energy_tone|fuehlen_mcm_coherence|fuehlen_mcm_tension|reflection_context_carry|reflection_context_strain|reflection_context_alignment,,inner_overcautious_carrying_pressure,reflection_context_cautious,passive_reflection_note_stable_field_and_direction,stable_form_field_direction_candidate,True,False,False,False,False,False,False,False
dio_1pfo,candidate_not_seen_in_validation_world,candidate_stable_overcautious_reflection,False,4,2,LONG,sehen_form_stability|hoeren_energy_tone|fuehlen_mcm_coherence|fuehlen_mcm_tension|reflection_context_carry|reflection_context_strain|reflection_context_alignment,,inner_overcautious_carrying_pressure,reflection_context_carried,passive_reflection_note_stable_field_and_direction,stable_form_field_direction_candidate,True,False,False,False,False,False,False,False
dio_1wie,candidate_not_seen_in_validation_world,candidate_stable_overcautious_reflection,False,4,2,SHORT,sehen_form_stability|fuehlen_mcm_coherence|fuehlen_mcm_tension|reflection_context_carry|reflection_context_strain,,inner_overcautious_carrying_pressure,reflection_context_carried,passive_reflection_note_stable_field_and_direction,stable_form_field_direction_candidate,True,False,False,False,False,False,False,False
