island_id,island_state,family_count,core_count,raw_count,edge_count,possible_edge_count,local_edge_density,avg_meaning_similarity,max_meaning_similarity,semantic_density,variant_attraction,island_growth,island_fragmentation,density_reproduction,semantic_vorticity,families,core_families,raw_families,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,density_state,dio_semantic_density_sentence
dio_semantic_island_1,raw_semantic_island,31,0,31,146,465,0.313978,0.991792,0.999871,0.731347,0.778832,0.999987,0.005631,0.16714,0.648569,dio_01w7|dio_039l|dio_06gy|dio_09f6|dio_0alq|dio_0fs6|dio_0fvb|dio_0mod|dio_0myd|dio_0n32|dio_0t7r|dio_0uam|dio_0w16|dio_0w94|dio_0wsp|dio_101q|dio_11ex|dio_1215|dio_13p1|dio_1a1w|dio_1ewi|dio_1fbp|dio_1j54|dio_1ka9|dio_1nso|dio_1nvu|dio_1omn|dio_1pip|dio_1qpi|dio_1t1w|dio_1w13,-,dio_01w7|dio_039l|dio_06gy|dio_09f6|dio_0alq|dio_0fs6|dio_0fvb|dio_0mod|dio_0myd|dio_0n32|dio_0t7r|dio_0uam|dio_0w16|dio_0w94|dio_0wsp|dio_101q|dio_11ex|dio_1215|dio_13p1|dio_1a1w|dio_1ewi|dio_1fbp|dio_1j54|dio_1ka9|dio_1nso|dio_1nvu|dio_1omn|dio_1pip|dio_1qpi|dio_1t1w|dio_1w13,True,False,False,False,False,False,False,False,passive_semantic_density_center,dio_semantic_island_1: semantisches Dichtezentrum; Varianten koppeln an einen stabilen Inselraum.
dio_semantic_island_9,raw_semantic_island,6,0,6,14,15,0.933333,0.995901,0.99989,0.445423,0.977847,0.38614,0.000273,0.16714,0.534332,dio_005q|dio_00fq|dio_05k3|dio_0vu0|dio_1del|dio_1dok,-,dio_005q|dio_00fq|dio_05k3|dio_0vu0|dio_1del|dio_1dok,True,False,False,False,False,False,False,False,passive_raw_semantic_density,dio_semantic_island_9: rohe semantische Dichte ohne stabile Kernwirkung.
dio_semantic_island_13,raw_semantic_island,6,0,6,14,15,0.933333,0.993736,0.999822,0.445033,0.977414,0.386133,0.000418,0.16714,0.534185,dio_0irs|dio_0ksa|dio_0mtm|dio_0pni|dio_0t8k|dio_11e9,-,dio_0irs|dio_0ksa|dio_0mtm|dio_0pni|dio_0t8k|dio_11e9,True,False,False,False,False,False,False,False,passive_raw_semantic_density,dio_semantic_island_13: rohe semantische Dichte ohne stabile Kernwirkung.
dio_semantic_island_3,raw_semantic_island,13,0,13,33,78,0.423077,0.994005,0.999986,0.428456,0.814186,0.516203,0.003459,0.16714,0.508042,dio_02s2|dio_081d|dio_09ah|dio_1001|dio_11bp|dio_140n|dio_15r6|dio_168n|dio_19b6|dio_1bj6|dio_1eu2|dio_1hj5|dio_1o2b,-,dio_02s2|dio_081d|dio_09ah|dio_1001|dio_11bp|dio_140n|dio_15r6|dio_168n|dio_19b6|dio_1bj6|dio_1eu2|dio_1hj5|dio_1o2b,True,False,False,False,False,False,False,False,passive_raw_semantic_density,dio_semantic_island_3: rohe semantische Dichte ohne stabile Kernwirkung.
dio_semantic_island_19,raw_semantic_island,3,0,3,3,3,1.0,0.999849,0.999924,0.418159,0.99997,0.323753,0.0,0.16714,0.523588,dio_05c5|dio_098w|dio_0avw,-,dio_05c5|dio_098w|dio_0avw,True,False,False,False,False,False,False,False,passive_raw_semantic_density,dio_semantic_island_19: rohe semantische Dichte ohne stabile Kernwirkung.
dio_semantic_island_20,raw_semantic_island,3,0,3,3,3,1.0,0.999341,0.999751,0.418067,0.999868,0.323736,0.0,0.16714,0.52354,dio_0gvf|dio_0yn1|dio_1da1,-,dio_0gvf|dio_0yn1|dio_1da1,True,False,False,False,False,False,False,False,passive_raw_semantic_density,dio_semantic_island_20: rohe semantische Dichte ohne stabile Kernwirkung.
dio_semantic_island_21,raw_semantic_island,3,0,3,3,3,1.0,0.997523,0.999782,0.41774,0.999505,0.323739,0.0,0.16714,0.523388,dio_0v8y|dio_0x52|dio_14mj,-,dio_0v8y|dio_0x52|dio_14mj,True,False,False,False,False,False,False,False,passive_raw_semantic_density,dio_semantic_island_21: rohe semantische Dichte ohne stabile Kernwirkung.
dio_semantic_island_22,raw_semantic_island,3,0,3,3,3,1.0,0.994856,0.998122,0.41726,0.998971,0.323573,0.0,0.16714,0.523111,dio_113w|dio_1i05|dio_1s6i,-,dio_113w|dio_1i05|dio_1s6i,True,False,False,False,False,False,False,False,passive_raw_semantic_density,dio_semantic_island_22: rohe semantische Dichte ohne stabile Kernwirkung.
dio_semantic_island_12,raw_semantic_island,6,0,6,12,15,0.8,0.994957,0.999803,0.415298,0.934991,0.381474,0.001009,0.16714,0.51503,dio_0gmg|dio_0juh|dio_0t27|dio_0ux8|dio_0we7|dio_1378,-,dio_0gmg|dio_0juh|dio_0t27|dio_0ux8|dio_0we7|dio_1378,True,False,False,False,False,False,False,False,passive_raw_semantic_density,dio_semantic_island_12: rohe semantische Dichte ohne stabile Kernwirkung.
dio_semantic_island_23,raw_semantic_island,2,0,2,1,1,1.0,0.998602,0.998602,0.406904,0.99972,0.306705,0.0,0.16714,0.518028,dio_12dn|dio_1xfw,-,dio_12dn|dio_1xfw,True,False,False,False,False,False,False,False,passive_raw_semantic_density,dio_semantic_island_23: rohe semantische Dichte ohne stabile Kernwirkung.
