family,phases,phase_count,rows,executed,positive_executed,burdened_executed,observed_potential,held_same_episode,reward_sum,avg_visual_mcm_alignment_trace,avg_tone_tension_resonance_trace,max_trade_readiness,max_mature_transfer
dio_1d6j,"order_shift,order_shift_varianz",2,8,5,5,0,3,0,4.768065,0.991901,0.965502,0.523523,0.05709
dio_0nmi,"order_shift,sensor_relation_probe2",2,5,4,4,0,1,0,6.770993,0.97403,0.93153,0.715588,0.069979
dio_1ytj,"order_shift_drift,order_shift_varianz",2,7,3,3,0,2,2,3.443424,0.991259,0.867444,0.497767,0.062001
dio_1hkr,"order_shift_varianz,sensor_relation_probe",2,7,3,3,0,2,2,0.199002,0.953977,0.797493,0.169446,0.057036
dio_1iuo,"order_shift_drift,order_shift_resonanz",2,4,2,2,0,2,0,3.524774,0.953851,0.940485,0.245962,0.066179
dio_03fl,"order_shift_varianz,sensor_relation_probe",2,5,0,0,0,3,2,0.0,0.897901,0.705407,0.082293,0.057451
dio_1ieq,"order_shift_drift,sensor_relation_probe",2,2,0,0,0,1,1,0.0,0.949071,0.795444,0.087746,0.057025
dio_1lam,shift,1,4,4,4,0,0,0,5.19776,0.995705,0.970582,0.761004,0.078122
dio_0n4c,sensor_relation_probe,1,4,4,4,0,0,0,4.34092,0.950057,0.975544,0.714173,0.075569
dio_1cpq,shift,1,4,3,3,0,0,1,3.876612,0.775503,0.865427,0.510169,0.066977
dio_1ioc,order_shift_varianz,1,4,2,2,0,2,0,3.339704,0.9672,0.96177,0.232116,0.079776
dio_1fqy,order_shift_drift,1,4,2,2,0,2,0,3.10993,0.926858,0.957579,0.216453,0.075255
dio_121e,order_shift,1,4,2,2,0,2,0,3.042412,0.936537,0.951007,0.211842,0.081719
dio_0pw5,order_shift_resonanz,1,4,2,2,0,2,0,2.70756,0.94575,0.959822,0.189007,0.073674
dio_1uyk,sensor_relation_probe2,1,4,2,2,0,2,0,2.46987,0.93833,0.995162,0.173001,0.071928
dio_1r42,order_shift_resonanz,1,4,2,2,0,2,0,2.421188,0.99664,0.9229,0.168931,0.06377
dio_1r0b,shift,1,2,2,2,0,0,0,1.959404,0.866835,0.603844,0.363935,0.064581
dio_0odx,shift,1,4,2,2,0,2,0,0.520934,0.911981,0.777749,0.092001,0.055604
dio_0f4h,order_shift,1,1,1,1,0,0,0,2.0,0.994056,0.939385,0.172588,0.061115
dio_1h5i,order_shift,1,3,1,1,0,2,0,1.652416,0.966362,0.976322,0.064142,0.060884
dio_0ga4,sensor_relation_probe,1,3,1,1,0,2,0,1.355456,0.995353,0.925447,0.05351,0.05351
dio_15th,order_shift_drift,1,3,1,1,0,2,0,1.296838,0.962733,0.943116,0.051073,0.051073
dio_1tzc,order_shift_resonanz,1,3,1,1,0,2,0,1.238489,0.968545,0.794705,0.048908,0.048908
dio_1ax9,sensor_relation_probe2,1,3,1,1,0,2,0,1.237693,0.944146,0.887864,0.048781,0.048781
dio_0cn1,order_shift_resonanz,1,4,1,1,0,3,0,1.191733,0.935847,0.617204,0.096682,0.064895
dio_060l,sensor_relation_probe2,1,4,1,1,0,3,0,1.190707,0.971986,0.704945,0.096467,0.06317
dio_1sxo,order_shift_varianz,1,2,1,1,0,1,0,0.993834,0.801728,0.952709,0.076944,0.069375
dio_1erd,sensor_relation_probe,1,4,1,1,0,3,0,0.979017,0.85857,0.848864,0.081035,0.073134
dio_1e6y,order_shift_drift,1,4,1,1,0,3,0,0.941453,0.983794,0.873401,0.07695,0.059666
dio_17tf,sensor_relation_probe,1,4,1,1,0,3,0,0.745509,0.984275,0.8626,0.061897,0.060391
dio_0qb3,sensor_relation_probe2,1,4,1,1,0,3,0,0.576544,0.975347,0.977726,0.080759,0.064975
dio_1mml,shift,1,1,1,1,0,0,0,0.237245,0.912398,0.578349,0.086014,0.04983
dio_0wp4,order_shift_resonanz,1,4,0,0,0,4,0,0.0,0.968749,0.686088,0.050331,0.050331
dio_1wwt,order_shift,1,4,0,0,0,4,0,0.0,0.967863,0.837527,0.04661,0.04661
dio_1on4,sensor_relation_probe2,1,4,0,0,0,4,0,0.0,0.963578,0.665348,0.027804,0.027804
dio_0oqk,sensor_relation_probe2,1,4,0,0,0,4,0,0.0,0.95665,0.794966,0.033484,0.033484
dio_1iwb,sensor_relation_probe2,1,4,0,0,0,4,0,0.0,0.943828,0.740879,0.026406,0.026406
dio_0my4,order_shift_drift,1,4,0,0,0,4,0,0.0,0.925599,0.626393,0.036879,0.036879
dio_08wa,order_shift,1,4,0,0,0,4,0,0.0,0.886663,0.597352,0.022227,0.022227
dio_151h,order_shift_varianz,1,4,0,0,0,4,0,0.0,0.884571,0.606009,0.010461,0.010461
dio_1527,sensor_relation_probe,1,4,0,0,0,4,0,0.0,0.856648,0.735256,0.03969,0.03969
dio_1nnb,sensor_relation_probe,1,3,0,0,0,3,0,0.0,0.997168,0.876428,0.038186,0.038186
dio_15r2,sensor_relation_probe2,1,3,0,0,0,3,0,0.0,0.991549,0.949238,0.045661,0.045661
dio_066x,order_shift_varianz,1,3,0,0,0,3,0,0.0,0.958834,0.761113,0.017901,0.017901
dio_0knp,order_shift,1,3,0,0,0,3,0,0.0,0.891968,0.581614,0.00548,0.00548
dio_0iy2,order_shift_varianz,1,3,0,0,0,3,0,0.0,0.869638,0.512876,0.01359,0.01359
dio_1hcy,sensor_relation_probe,1,2,0,0,0,2,0,0.0,0.998683,0.923777,0.018537,0.018537
dio_134j,order_shift_resonanz,1,2,0,0,0,2,0,0.0,0.994613,0.99222,0.020976,0.020976
dio_13ld,order_shift_resonanz,1,2,0,0,0,2,0,0.0,0.984223,0.987173,0.015029,0.015029
dio_1pyo,order_shift_drift,1,2,0,0,0,2,0,0.0,0.980249,0.836087,0.019025,0.019025
dio_1nlc,sensor_relation_probe,1,2,0,0,0,2,0,0.0,0.980042,0.947923,0.02177,0.02177
dio_1fcl,sensor_relation_probe2,1,2,0,0,0,2,0,0.0,0.976011,0.986875,0.014809,0.014809
dio_0mlh,order_shift_resonanz,1,2,0,0,0,2,0,0.0,0.975177,0.879312,0.012936,0.012936
dio_1xmg,sensor_relation_probe,1,2,0,0,0,2,0,0.0,0.974364,0.897364,0.021631,0.021631
dio_1k0r,order_shift_drift,1,2,0,0,0,2,0,0.0,0.961523,0.934322,0.020565,0.020565
dio_0ppq,order_shift_resonanz,1,2,0,0,0,2,0,0.0,0.947663,0.79023,0.00395,0.00395
dio_1sgx,order_shift_resonanz,1,2,0,0,0,2,0,0.0,0.941356,0.88279,0.022289,0.022289
dio_01ql,sensor_relation_probe2,1,2,0,0,0,2,0,0.0,0.935871,0.799799,0.004113,0.004113
dio_0d07,order_shift,1,2,0,0,0,2,0,0.0,0.931789,0.685012,0.006525,0.006525
dio_01nr,sensor_relation_probe2,1,2,0,0,0,2,0,0.0,0.92632,0.992438,0.014357,0.014357
dio_1gz3,order_shift_drift,1,2,0,0,0,2,0,0.0,0.916012,0.526425,0.00725,0.00725
dio_185j,order_shift,1,2,0,0,0,2,0,0.0,0.914525,0.723199,0.010018,0.010018
dio_1gj1,order_shift_resonanz,1,2,0,0,0,2,0,0.0,0.894,0.952865,0.01607,0.01607
dio_01yf,order_shift,1,2,0,0,0,2,0,0.0,0.887382,0.960196,0.016301,0.016301
dio_0q8z,order_shift_varianz,1,2,0,0,0,2,0,0.0,0.865405,0.971465,0.017637,0.017637
dio_18je,order_shift_drift,1,2,0,0,0,2,0,0.0,0.863906,0.956565,0.018078,0.018078
dio_1l8g,order_shift_resonanz,1,2,0,0,0,2,0,0.0,0.850925,0.611224,0.007819,0.007819
dio_1i0f,order_shift,1,2,0,0,0,2,0,0.0,0.813847,0.893742,0.012728,0.012728
dio_1ce7,sensor_relation_probe2,1,2,0,0,0,2,0,0.0,0.811249,0.586853,0.014208,0.014208
dio_1c48,sensor_relation_probe2,1,2,0,0,0,2,0,0.0,0.811249,0.586853,0.014323,0.014323
dio_14ch,sensor_relation_probe2,1,2,0,0,0,2,0,0.0,0.807711,0.984165,0.00755,0.00755
dio_0nvr,order_shift,1,2,0,0,0,2,0,0.0,0.802968,0.77327,0.005402,0.005402
dio_1y8o,order_shift_drift,1,2,0,0,0,2,0,0.0,0.788627,0.766389,0.004275,0.004275
dio_00t3,sensor_relation_probe2,1,2,0,0,0,2,0,0.0,0.783979,0.935124,0.011218,0.011218
dio_0jjv,order_shift_resonanz,1,2,0,0,0,2,0,0.0,0.775809,0.919864,0.009159,0.009159
dio_0i2c,order_shift_resonanz,1,2,0,0,0,2,0,0.0,0.762852,0.797887,0.004284,0.004284
dio_1iwu,order_shift_resonanz,1,2,0,0,0,2,0,0.0,0.760835,0.58095,0.01428,0.01428
dio_1xdw,order_shift_drift,1,2,0,0,0,2,0,0.0,0.751548,0.871649,0.010235,0.010235
dio_0789,sensor_relation_probe2,1,1,0,0,0,1,0,0.0,0.99899,0.885374,0.004254,0.004254
dio_13ud,sensor_relation_probe,1,1,0,0,0,1,0,0.0,0.986142,0.927373,0.004013,0.004013
dio_15fd,sensor_relation_probe,1,1,0,0,0,1,0,0.0,0.985665,0.725183,0.004491,0.004491
dio_1j0n,order_shift,1,1,0,0,0,1,0,0.0,0.968496,0.848788,0.004095,0.004095
dio_1mic,sensor_relation_probe2,1,1,0,0,0,1,0,0.0,0.960269,0.837434,0.003916,0.003916
dio_0786,order_shift_drift,1,1,0,0,0,1,0,0.0,0.910104,0.71572,0.004144,0.004144
dio_018g,order_shift,1,1,0,0,0,1,0,0.0,0.887779,0.66456,0.004547,0.004547
dio_1h37,shift,1,1,0,0,0,1,0,0.0,0.882719,0.681865,0.005742,0.005742
dio_0r8e,order_shift_varianz,1,1,0,0,0,1,0,0.0,0.878643,0.701743,0.004006,0.004006
dio_0p6m,sensor_relation_probe,1,1,0,0,0,1,0,0.0,0.829174,0.614457,0.004729,0.004729
dio_0mp4,order_shift_varianz,1,1,0,0,0,1,0,0.0,0.769624,0.79681,0.004609,0.004609
dio_1hjj,shift,1,1,0,0,0,0,1,0.0,0.839268,0.706363,0.079478,0.045332
dio_0t45,shift,1,2,0,0,0,0,2,0.0,0.802869,0.898277,0.143727,0.062919
dio_0lt6,order_shift_drift,1,1,1,0,1,0,0,-0.249492,0.889309,0.536721,0.329321,0.066798
dio_00eh,order_shift,1,2,1,0,1,1,0,-0.431148,0.887779,0.66456,0.072906,0.066364
