family,transfer_status,source_rows,source_trades,source_tp,source_sl,source_reward_sum,source_avg_balance,source_max_temporal_trust_support,target_rows,target_trades,target_tp,target_sl,target_reward_sum,target_avg_balance,target_max_temporal_trust_support,target_max_temporal_caution_support,target_max_afterimage,target_max_trade_readiness,source_tones,target_tones,source_temporal_states,target_temporal_states
dio_16in,source_only,10,2,2,0,2.0,0.23923,0.657096,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"{'focus_tone': 9, 'relief_tone': 1}",{},"{'temporal_first_contact': 4, 'temporal_near_return': 3, 'temporal_far_return': 3}",{}
dio_1w4m,new_target_family,0,0,0,0,0.0,0.0,0.0,8,0,0,0,0.0,0.191517,0.609107,0.72,0.056,0.016802,{},{'focus_tone': 8},{},"{'temporal_first_contact': 4, 'temporal_near_return': 4}"
dio_04zi,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.042319,0.0,0.72,0.0,0.026471,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_06bd,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,-0.010232,0.0,0.72,0.0,0.014378,{},{'observation_tone': 4},{},{'temporal_first_contact': 4}
dio_0cgn,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.202583,0.0,0.72,0.0,0.022254,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_0fa9,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,-0.025032,0.0,0.72,0.0,0.008565,{},{'observation_tone': 4},{},{'temporal_first_contact': 4}
dio_0ojr,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,-0.014199,0.0,0.72,0.0,0.017977,{},{'observation_tone': 4},{},{'temporal_first_contact': 4}
dio_0rb2,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.071261,0.0,0.72,0.0,0.009236,{},{'observation_tone': 4},{},{'temporal_first_contact': 4}
dio_0vc8,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.021993,0.0,0.72,0.0,0.007438,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_10kx,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.081496,0.0,0.72,0.0,0.016721,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_1f4v,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.055706,0.0,0.72,0.0,0.008779,{},{'observation_tone': 4},{},{'temporal_first_contact': 4}
dio_1g7l,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.039144,0.0,0.72,0.0,0.008943,{},{'observation_tone': 4},{},{'temporal_first_contact': 4}
dio_1jo7,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.038946,0.0,0.72,0.0,0.004707,{},{'observation_tone': 4},{},{'temporal_first_contact': 4}
dio_1k0r,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.098297,0.0,0.72,0.0,0.016614,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_1q9b,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.050139,0.0,0.72,0.0,0.008985,{},{'observation_tone': 4},{},{'temporal_first_contact': 4}
dio_1qig,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.080482,0.0,0.72,0.0,0.026458,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_1t73,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.048143,0.0,0.72,0.0,0.016629,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_1vjg,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.118167,0.0,0.72,0.0,0.024936,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_018g,source_only,4,0,0,0,0.0,0.054279,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
dio_02jf,source_only,4,0,0,0,0.0,0.150817,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
dio_02tu,source_only,4,0,0,0,0.0,0.01953,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
dio_049y,source_only,4,0,0,0,0.0,0.195075,0.632201,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},"{'temporal_first_contact': 2, 'temporal_near_return': 2}",{}
dio_04jy,source_only,2,0,0,0,0.0,0.194292,0.63221,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 2},{},"{'temporal_first_contact': 1, 'temporal_near_return': 1}",{}
dio_0635,source_only,4,0,0,0,0.0,0.015101,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'observation_tone': 4},{},{'temporal_first_contact': 4},{}
dio_06c2,source_only,4,0,0,0,0.0,0.051921,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
dio_0cz8,source_only,4,0,0,0,0.0,0.063111,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
dio_0eyx,source_only,3,0,0,0,0.0,0.067687,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 3},{},{'temporal_first_contact': 3},{}
dio_0hmv,source_only,4,0,0,0,0.0,-0.044315,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'observation_tone': 4},{},{'temporal_first_contact': 4},{}
dio_0j9l,source_only,4,0,0,0,0.0,0.054156,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
