family,phases,phase_count,rows,executed,positive_executed,burdened_executed,observed_potential,held_same_episode,reward_sum,avg_visual_mcm_alignment_trace,avg_tone_tension_resonance_trace,max_trade_readiness,max_mature_transfer
dio_0a54,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat",3,10,6,6,0,4,0,3.445308,0.900395,0.691134,0.350492,0.065628
dio_1d6j,"order_shift,order_shift_varianz",2,8,5,5,0,3,0,4.768065,0.991901,0.965502,0.523523,0.05709
dio_14wi,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,8,5,5,0,3,0,4.496005,0.952382,0.992479,0.485576,0.076872
dio_0nmi,"order_shift,sensor_relation_probe2",2,5,4,4,0,1,0,6.770993,0.97403,0.93153,0.715588,0.069979
dio_1alf,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,8,4,4,0,4,0,2.107256,0.902341,0.760009,0.256578,0.064363
dio_01yf,"order_shift,sensor_relation_probe3",2,4,2,2,0,2,0,1.876634,0.892988,0.973202,0.143424,0.072579
dio_0rps,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,8,0,0,0,8,0,0.0,0.990381,0.840068,0.045185,0.045185
dio_185j,"order_shift,sensor_relation_probe3",2,6,0,0,0,6,0,0.0,0.911434,0.727585,0.029068,0.029068
dio_1y2t,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,8,0,0,0,4,4,0.0,0.97924,0.821653,0.13803,0.071802
dio_0v15,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,8,0,0,0,3,5,0.0,0.968457,0.852439,0.168536,0.071525
dio_1k0r,sensor_relation_probe3,1,3,3,3,0,0,0,4.7844,0.963191,0.927646,0.442674,0.071574
dio_0v36,sensor_relation_probe4,1,3,3,3,0,0,0,3.423192,0.966106,0.946616,0.347427,0.065879
dio_1ioc,order_shift_varianz,1,4,2,2,0,2,0,3.339704,0.9672,0.96177,0.232116,0.079776
dio_121e,order_shift,1,4,2,2,0,2,0,3.042412,0.936537,0.951007,0.211842,0.081719
dio_1mx6,sensor_relation_probe3,1,4,2,2,0,2,0,2.572766,0.927089,0.984706,0.180337,0.076545
dio_1dmh,sensor_relation_probe3,1,4,2,2,0,2,0,2.480166,0.860532,0.561814,0.173129,0.065773
dio_1uyk,sensor_relation_probe2,1,4,2,2,0,2,0,2.46987,0.93833,0.995162,0.173001,0.071928
dio_0f4h,order_shift,1,1,1,1,0,0,0,2.0,0.994056,0.939385,0.172588,0.061115
