family,classification,trace_notes,phases,phase_count,executed_runs,observed_runs,reward_sum,reward_per_executed_run,visual_mcm,tone_tension,bearing_neighbor_count,same_family_relation_count
dio_0nmi,stabile_reifespur,weltuebergreifend|ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn|gleiche_familie_ueber_phasen,"order_shift,sensor_relation_probe2",2,4,1,6.770993,1.692748,0.97403,0.93153,8,2
dio_1d6j,stabile_reifespur,weltuebergreifend|ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn|gleiche_familie_ueber_phasen,"order_shift,order_shift_varianz",2,5,3,4.768065,0.953613,0.991901,0.965502,6,2
dio_1k0r,starke_lokale_sensorikspur,ausgefuehrt|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe3,1,3,0,4.7844,1.5948,0.963191,0.927646,5,0
dio_0v36,starke_lokale_sensorikspur,ausgefuehrt|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe4,1,3,0,3.423192,1.141064,0.966106,0.946616,4,0
dio_1ioc,starke_lokale_sensorikspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift_varianz,1,2,2,3.339704,1.669852,0.9672,0.96177,5,0
dio_121e,starke_lokale_sensorikspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift,1,2,2,3.042412,1.521206,0.936537,0.951007,5,0
dio_1mx6,starke_lokale_sensorikspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe3,1,2,2,2.572766,1.286383,0.927089,0.984706,5,0
dio_1uyk,starke_lokale_sensorikspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe2,1,2,2,2.46987,1.234935,0.93833,0.995162,5,0
dio_1dmh,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz,sensor_relation_probe3,1,2,2,2.480166,1.240083,0.860532,0.561814,0,0
dio_0f4h,positive_einzelspur,ausgefuehrt|positive_konsequenz|sensorische_nachbarn,order_shift,1,1,0,2.0,2.0,0.994056,0.939385,5,0
dio_01yf,positive_einzelspur,weltuebergreifend|ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn|gleiche_familie_ueber_phasen,"order_shift,sensor_relation_probe3",2,2,2,1.876634,0.938317,0.892988,0.973202,6,2
dio_1h5i,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift,1,1,2,1.652416,1.652416,0.966362,0.976322,5,0
dio_1ax9,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe2,1,1,2,1.237693,1.237693,0.944146,0.887864,6,0
dio_060l,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe2,1,1,3,1.190707,1.190707,0.971986,0.704945,2,0
dio_0thk,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe3,1,1,3,1.156708,1.156708,0.96523,0.942704,4,0
dio_0a54,positive_einzelspur,weltuebergreifend|ausgefuehrt|beobachtet|positive_konsequenz|gleiche_familie_ueber_phasen,"sensor_relation_probe3,sensor_relation_probe4",2,2,4,1.148436,0.574218,0.900431,0.690194,0,2
dio_0nm2,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe4,1,1,3,1.024116,1.024116,0.922335,0.690522,1,0
dio_1sxo,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift_varianz,1,1,1,0.993834,0.993834,0.801728,0.952709,1,0
dio_14wi,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe4,1,1,3,0.899201,0.899201,0.952382,0.992479,5,0
dio_0qb3,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe2,1,1,3,0.576544,0.576544,0.975347,0.977726,4,0
dio_185j,stabile_beobachtung,weltuebergreifend|beobachtet,"order_shift,sensor_relation_probe3",2,0,6,0.0,0.0,0.911434,0.727585,0,0
dio_08wa,stabile_beobachtung,beobachtet,order_shift,1,0,4,0.0,0.0,0.886663,0.597352,0,0
dio_1wwt,stabile_beobachtung,beobachtet,order_shift,1,0,4,0.0,0.0,0.967863,0.837527,0,0
dio_03fl,beobachteter_nachhall,beobachtet|nachhall_gehalten,order_shift_varianz,1,0,4,0.0,0.0,0.895492,0.705145,0,0
dio_151h,stabile_beobachtung,beobachtet,order_shift_varianz,1,0,4,0.0,0.0,0.884571,0.606009,0,0
dio_1hkr,beobachteter_nachhall,beobachtet|nachhall_gehalten,order_shift_varianz,1,0,4,0.0,0.0,0.960995,0.804932,0,0
dio_1ytj,beobachteter_nachhall,beobachtet|nachhall_gehalten,order_shift_varianz,1,0,4,0.0,0.0,0.999359,0.865305,0,0
dio_0oqk,stabile_beobachtung,beobachtet,sensor_relation_probe2,1,0,4,0.0,0.0,0.95665,0.794966,0,0
dio_1iwb,stabile_beobachtung,beobachtet,sensor_relation_probe2,1,0,4,0.0,0.0,0.943828,0.740879,0,0
