timestamp;tick;open;high;low;close;area_profile_id;area_profile_state;area_price_low;area_price_high;area_price_mid;area_multisensory_coherence;area_attention_need;area_felt_depth;area_overcoupling_risk;sensory_sync;sensory_desync_pressure;visual_hearing_fit;visual_felt_fit;hearing_felt_fit;temporal_visual_fit;multisensory_binding_state;visual_object;visual_label;visual_side;visual_score;hearing_tone;hearing_loudness;hearing_frequency_hz;temporal_score;felt_depth;profile_role
1767375300000000;1;131.27000000;131.44000000;131.07000000;131.18000000;ap_07d93065d8;coherent_multisensory_area;131.07000000;131.44000000;131.18000000;0.405609;0.291399;0.380088;0.211970;0.742201;0.187045;0.708018;0.995925;0.703942;0.840473;bound_multisensory_area;range_object;unformed_visual_background;center_area;0.384164;clear_tone;0.732760;3425.8758;0.224636;0.380088;perception_only
1767375600000000;2;131.18000000;131.37000000;131.06000000;131.29000000;ap_b149b9095a;coherent_multisensory_area;131.06000000;131.37000000;131.29000000;0.404174;0.309321;0.403497;0.225635;0.711699;0.217530;0.635431;0.976121;0.659310;0.851944;bound_multisensory_area;range_object;unformed_visual_background;upper_area;0.379618;clear_tone;0.830361;4180.2245;0.231562;0.403497;perception_only
1767375900000000;3;131.28000000;131.45000000;130.80000000;130.83000000;ap_893ce78c8e;coherent_multisensory_area;130.80000000;131.45000000;130.83000000;0.362524;0.321125;0.310697;0.250663;0.643382;0.301506;0.496626;0.962000;0.458626;0.889182;bound_multisensory_area;range_object;unformed_visual_background;center_area;0.348697;bright_tone;1.000000;6577.5728;0.237879;0.310697;perception_only
1767376200000000;4;130.84000000;131.18000000;130.69000000;131.16000000;ap_1d9e699291;coherent_multisensory_area;130.69000000;131.18000000;131.16000000;0.408060;0.331299;0.403515;0.253110;0.674524;0.268064;0.531589;0.981998;0.549591;0.857372;bound_multisensory_area;range_object;unformed_visual_background;center_area;0.385514;clear_tone;1.000000;6347.0988;0.242886;0.403515;perception_only
1767376500000000;5;131.16000000;131.45000000;131.10000000;131.44000000;ap_95a1ffcfc3;coherent_multisensory_area;131.10000000;131.45000000;131.44000000;0.478308;0.352194;0.510260;0.264139;0.712438;0.238209;0.622209;0.963774;0.658435;0.773323;bound_multisensory_area;range_object;unformed_visual_background;center_area;0.474034;bright_tone;1.000000;6612.5664;0.247356;0.510260;perception_only
1767376800000000;6;131.44000000;131.76000000;131.30000000;131.75000000;ap_3bd76f9a29;coherent_multisensory_area;131.30000000;131.76000000;131.75000000;0.501925;0.370554;0.570119;0.270472;0.719327;0.229956;0.649366;0.932839;0.716526;0.747677;bound_multisensory_area;range_object;unformed_visual_background;upper_area;0.502958;clear_tone;1.000000;6384.7403;0.250635;0.570119;perception_only
1767377100000000;7;131.75000000;131.78000000;131.42000000;131.56000000;ap_0f1d02e1e3;coherent_multisensory_area;131.42000000;131.78000000;131.56000000;0.504188;0.349042;0.505092;0.220056;0.742395;0.194718;0.679625;0.997527;0.682098;0.750245;bound_multisensory_area;range_object;unformed_visual_background;center_area;0.502618;clear_tone;0.942761;5117.2064;0.252864;0.505092;perception_only
1767377400000000;8;131.55000000;131.82000000;131.51000000;131.82000000;ap_9f19298fdc;coherent_multisensory_area;131.51000000;131.82000000;131.82000000;0.475755;0.377630;0.549248;0.280440;0.700517;0.247832;0.614918;0.916484;0.698434;0.789044;bound_multisensory_area;compression_object;unformed_visual_background;upper_area;0.465732;bright_tone;1.000000;6770.8700;0.254776;0.549248;perception_only
1767377700000000;9;131.82000000;131.92000000;131.62000000;131.81000000;ap_3718a2c476;coherent_multisensory_area;131.62000000;131.92000000;131.81000000;0.458267;0.314943;0.494006;0.228802;0.797027;0.134976;0.851994;0.949243;0.902750;0.813534;bound_multisensory_area;range_object;unformed_visual_background;upper_area;0.443249;clear_tone;0.610212;2561.3185;0.256784;0.494006;perception_only
1767378000000000;10;131.82000000;132.03000000;131.74000000;131.85000000;ap_4c2128b9a8;coherent_multisensory_area;131.74000000;132.03000000;131.85000000;0.445818;0.320916;0.483707;0.233977;0.775207;0.156397;0.800725;0.943885;0.856839;0.830811;bound_multisensory_area;range_object;unformed_visual_background;upper_area;0.427592;clear_tone;0.661731;2913.2103;0.258403;0.483707;perception_only
