symbol_family,action,outcome_event,inner_state,event_count,event_reward_sum,memory_action_count,memory_reward_sum,memory_trust,memory_caution,memory_trust_minus_caution,consequence_effect,inner_sentence,passive_only
dio_0cgn,LONG,TP,inner_consequence_carried,1,1.0,3,2.1,0.212653,0.0,0.212653,tp_trust_visible,dio_0cgn: LONG wurde durch TP getragen; innen entsteht Vertrauen (0.212653) bei Vorsicht 0.000000.,1
dio_0hd3,SHORT,TP,inner_consequence_carried,1,1.0,9,11.360923,0.930152,0.0,0.930152,tp_trust_visible,dio_0hd3: SHORT wurde durch TP getragen; innen entsteht Vertrauen (0.930152) bei Vorsicht 0.000000.,1
dio_1g18,SHORT,TP,inner_consequence_carried,3,3.0,11,7.581362,0.608826,0.0,0.608826,tp_trust_visible,dio_1g18: SHORT wurde durch TP getragen; innen entsteht Vertrauen (0.608826) bei Vorsicht 0.000000.,1
dio_0x52,SHORT,SL,inner_consequence_conflicted,2,-2.0,10,3.310439,0.346594,0.2604,0.086194,sl_caution_visible_but_not_dominant,"dio_0x52: SHORT wurde durch SL belastet, aber alte Erfahrung traegt noch; innen bleibt Widerspruch trust=0.346594, caution=0.260400.",1
dio_07rf,WAIT,NO_TRADE,inner_consequence_quiet,2,0.0,4,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_07rf: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (2 Ereignisse).,1
dio_0cgn,WAIT,NO_TRADE,inner_consequence_quiet,2,0.0,2,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_0cgn: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (2 Ereignisse).,1
dio_0gmg,WAIT,NO_TRADE,inner_consequence_quiet,3,0.0,3,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_0gmg: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (3 Ereignisse).,1
dio_0izw,WAIT,NO_TRADE,inner_consequence_quiet,2,0.0,4,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_0izw: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (2 Ereignisse).,1
dio_15ms,WAIT,NO_TRADE,inner_consequence_quiet,2,0.0,4,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_15ms: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (2 Ereignisse).,1
dio_173s,WAIT,NO_TRADE,inner_consequence_quiet,3,0.0,3,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_173s: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (3 Ereignisse).,1
dio_1mn2,WAIT,NO_TRADE,inner_consequence_quiet,1,0.0,1,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_1mn2: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (1 Ereignisse).,1
dio_1mx2,WAIT,NO_TRADE,inner_consequence_quiet,2,0.0,2,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_1mx2: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (2 Ereignisse).,1
dio_1pfo,WAIT,NO_TRADE,inner_consequence_quiet,2,0.0,2,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_1pfo: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (2 Ereignisse).,1
