family_action,symbol_family,action,time_maturity_state,episode_freshness_state,episode_source_labels,episode_source_count,episode_count,phase_time_states,outcome_events,event_reward_sum,avg_event_reward,avg_finite_phase_age,avg_bars_held,inner_memory_state,inner_map_count,inner_map_labels,inner_seeds,inner_real_reward_sum,has_inner_maturity,bridge_passive_family_action,bridge_maturity_state,bridge_similarity,passive_only,influences_action,is_gate,is_motoric,time_maturity_note
dio_0cgn:WAIT,dio_0cgn,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,no_prior_phase:12,NO_TRADE:12,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_0cgn:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=basis,followup1,followup2,followup3."
dio_0fa9:WAIT,dio_0fa9,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,no_prior_phase:12,NO_TRADE:12,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_0fa9:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=basis,followup1,followup2,followup3."
dio_0gmg:WAIT,dio_0gmg,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,different_contact_afterimage:12,NO_TRADE:12,0.0,0.0,5.0,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_0gmg:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=basis,followup1,followup2,followup3."
dio_0izw:WAIT,dio_0izw,WAIT,older_trace_without_inner_memory,older_local_episode_trace,basis,1,3,different_contact_afterimage:3,NO_TRADE:3,0.0,0.0,6.0,,,0,,,0.0,0,,,0.0,1,0,0,0,dio_0izw:WAIT: older_trace_without_inner_memory; Zeit=older_local_episode_trace; Innen=-; Quellen=basis; reward=0.000000.
dio_0ojr:WAIT,dio_0ojr,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,no_prior_phase:12,NO_TRADE:12,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_0ojr:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=basis,followup1,followup2,followup3."
dio_0rb2:WAIT,dio_0rb2,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,different_contact_afterimage:4|no_prior_phase:8,NO_TRADE:12,0.0,0.0,7.0,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_0rb2:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=basis,followup1,followup2,followup3."
dio_0vc8:WAIT,dio_0vc8,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,no_prior_phase:12,NO_TRADE:12,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_0vc8:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=basis,followup1,followup2,followup3."
dio_0x52:WAIT,dio_0x52,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"followup1,followup2,followup3",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_0x52:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=followup1,followup2,followup3."
dio_10kx:WAIT,dio_10kx,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"followup1,followup2,followup3",3,8,no_prior_phase:8,NO_TRADE:8,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_10kx:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=followup1,followup2,followup3."
dio_14xc:WAIT,dio_14xc,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,active_afterimage_contact:12,NO_TRADE:12,0.0,0.0,5.0,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_14xc:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=basis,followup1,followup2,followup3."
dio_15ms:WAIT,dio_15ms,WAIT,older_trace_without_inner_memory,older_local_episode_trace,basis,1,3,active_afterimage_contact:3,NO_TRADE:3,0.0,0.0,5.0,,,0,,,0.0,0,,,0.0,1,0,0,0,dio_15ms:WAIT: older_trace_without_inner_memory; Zeit=older_local_episode_trace; Innen=-; Quellen=basis; reward=0.000000.
dio_173s:WAIT,dio_173s,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,different_contact_afterimage:9|separated_observation_contact:3,NO_TRADE:12,0.0,0.0,7.75,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_173s:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=basis,followup1,followup2,followup3."
dio_199c:WAIT,dio_199c,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"followup1,followup2,followup3",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_199c:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=followup1,followup2,followup3."
dio_1f4v:WAIT,dio_1f4v,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"followup1,followup2,followup3",3,8,no_prior_phase:8,NO_TRADE:8,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1f4v:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=followup1,followup2,followup3."
dio_1g7l:WAIT,dio_1g7l,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,no_prior_phase:12,NO_TRADE:12,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1g7l:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=basis,followup1,followup2,followup3."
dio_1guc:WAIT,dio_1guc,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"followup1,followup2,followup3",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1guc:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=followup1,followup2,followup3."
dio_1jo7:WAIT,dio_1jo7,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,no_prior_phase:8|separated_observation_contact:4,NO_TRADE:12,0.0,0.0,8.0,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1jo7:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=basis,followup1,followup2,followup3."
dio_1k0r:WAIT,dio_1k0r,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"followup1,followup2,followup3",3,8,no_prior_phase:8,NO_TRADE:8,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1k0r:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=followup1,followup2,followup3."
dio_1mx2:WAIT,dio_1mx2,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,different_contact_afterimage:9|separated_observation_contact:3,NO_TRADE:12,0.0,0.0,6.75,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1mx2:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=basis,followup1,followup2,followup3."
dio_1pfo:WAIT,dio_1pfo,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,different_contact_afterimage:9|separated_observation_contact:3,NO_TRADE:12,0.0,0.0,5.75,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1pfo:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=basis,followup1,followup2,followup3."
dio_1q9b:WAIT,dio_1q9b,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,different_contact_afterimage:4|no_prior_phase:8,NO_TRADE:12,0.0,0.0,6.0,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1q9b:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=basis,followup1,followup2,followup3."
dio_1qig:WAIT,dio_1qig,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,no_prior_phase:12,NO_TRADE:12,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1qig:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=basis,followup1,followup2,followup3."
dio_1t73:WAIT,dio_1t73,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,different_contact_afterimage:4|no_prior_phase:8,NO_TRADE:12,0.0,0.0,5.0,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1t73:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=basis,followup1,followup2,followup3."
dio_1vjg:WAIT,dio_1vjg,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"followup1,followup2,followup3",3,8,no_prior_phase:8,NO_TRADE:8,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1vjg:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=followup1,followup2,followup3."
dio_1w4m:WAIT,dio_1w4m,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,20,no_prior_phase:16|separated_observation_contact:4,NO_TRADE:20,0.0,0.0,9.0,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1w4m:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=basis,followup1,followup2,followup3."
dio_0x52:SHORT,dio_0x52,SHORT,burden_without_inner_memory,older_local_episode_trace,basis,1,3,no_prior_phase:3,SL:3,-3.0,-1.0,,1.0,,0,,,0.0,0,,,0.0,1,0,0,0,dio_0x52:SHORT: belastete Zeitspur ohne innere Reife-Memory; Quellen=basis; reward=-3.000000.
dio_1k0r:LONG,dio_1k0r,LONG,burden_without_inner_memory,older_recurrent_episode_trace,"basis,followup1",2,4,no_prior_phase:4,SL:4,-4.0,-1.0,,2.0,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1k0r:LONG: belastete Zeitspur ohne innere Reife-Memory; Quellen=basis,followup1; reward=-4.000000."
