left_family,right_family,distance,similarity,left_action,right_action,same_action,long_alignment,short_alignment,cross_alignment,left_count,right_count,left_long_trust,right_long_trust,left_short_trust,right_short_trust,left_long_observations,right_long_observations,left_short_observations,right_short_observations
dio_0i5m,dio_0ifl,0.001482,0.999974,SHORT,SHORT,1,0.0,0.000579,0.0,2,1,0.0,0.0,0.13238,0.068948,0,0,2,1
dio_11wp,dio_12qo,0.001923,0.999956,-,-,0,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0,0,0,0
dio_0v7w,dio_0w1v,0.003562,0.999848,SHORT,SHORT,1,0.0,0.004033,0.0,3,2,0.0,0.0,0.183009,0.127016,0,0,3,2
dio_0rh0,dio_11wp,0.011717,0.998355,SHORT,-,0,0.0,0.0,0.0,4,4,0.0,0.0,0.030243,0.0,0,0,4,0
dio_18iw,dio_1h37,0.011756,0.998344,SHORT,-,0,0.0,0.0,0.0,3,2,0.0,0.0,0.020306,0.0,0,0,3,0
dio_0rh0,dio_12qo,0.012712,0.998065,SHORT,-,0,0.0,0.0,0.0,4,2,0.0,0.0,0.030243,0.0,0,0,4,0
dio_0byw,dio_0n4c,0.013555,0.9978,LONG,SHORT,0,0.0,0.0,0.324389,10,4,1.0,0.0,0.0,0.474472,1,0,0,2
dio_0f4h,dio_1vb3,0.018923,0.995722,LONG,LONG,1,0.005936,0.0,0.0,4,4,0.20001,0.063969,0.0,0.0,3,4,0,0
dio_01xf,dio_1mml,0.020976,0.994748,LONG,LONG,1,0.000137,0.0,0.0,2,4,0.017214,0.032318,0.0,0.0,2,4,0,0
dio_1tg9,dio_1vb3,0.02229,0.994073,LONG,LONG,1,0.002368,0.0,0.0,2,4,0.1536,0.063969,0.0,0.0,2,4,0,0
dio_1h37,dio_1j78,0.022808,0.993796,-,LONG,0,0.0,0.0,0.0,2,2,0.0,0.007401,0.0,0.0,0,2,0,0
dio_0k53,dio_1tg9,0.022856,0.993771,LONG,LONG,1,0.002916,0.0,0.0,2,2,0.1536,0.1536,0.0,0.0,2,2,0,0
dio_1hkr,dio_1ieq,0.023056,0.993661,-,LONG,0,0.0,0.0,0.0,4,4,0.0,0.050943,0.0,0.0,0,4,0,0
dio_0k53,dio_1vb3,0.024111,0.993072,LONG,LONG,1,0.002376,0.0,0.0,2,4,0.1536,0.063969,0.0,0.0,2,4,0,0
dio_0f4h,dio_0k53,0.024824,0.992659,LONG,LONG,1,0.007311,0.0,0.0,4,2,0.20001,0.1536,0.0,0.0,3,2,0,0
dio_0f4h,dio_0nmi,0.025736,0.992114,LONG,LONG,1,0.001515,0.0,0.0,4,4,0.20001,0.016255,0.0,0.0,3,4,0,0
dio_01xf,dio_0uct,0.03148,0.988248,LONG,LONG,1,0.000973,0.0,0.0,2,4,0.017214,0.234003,0.0,0.0,2,3,0,0
dio_0f4h,dio_1tg9,0.032332,0.987611,LONG,LONG,1,0.007286,0.0,0.0,4,2,0.20001,0.1536,0.0,0.0,3,2,0,0
dio_0av4,dio_19qg,0.03259,0.987415,SHORT,SHORT,1,0.0,0.000643,0.0,3,1,0.0,0.0,0.122245,0.054799,0,0,3,1
dio_0uct,dio_1mml,0.033228,0.986924,LONG,LONG,1,0.003592,0.0,0.0,4,4,0.234003,0.032318,0.0,0.0,3,4,0,0
dio_081d,dio_1144,0.033431,0.986766,LONG,SHORT,0,0.0,0.0,0.002733,2,2,0.149175,0.0,0.0,0.1536,2,0,0,2
dio_18iw,dio_1j78,0.034564,0.985866,SHORT,LONG,0,0.0,0.0,2.9e-05,3,2,0.0,0.007401,0.020306,0.0,0,2,3,0
dio_01xf,dio_1ll4,0.03607,0.984627,LONG,-,0,0.0,0.0,0.0,2,4,0.017214,0.0,0.0,0.0,2,0,0,0
dio_0nmi,dio_1vb3,0.036375,0.98437,LONG,LONG,1,0.000492,0.0,0.0,4,4,0.016255,0.063969,0.0,0.0,4,4,0,0
dio_179o,dio_1v23,0.036491,0.984272,LONG,LONG,1,0.002863,0.0,0.0,3,4,0.30449,0.026942,0.0,0.0,2,4,0,0
dio_00eh,dio_0rh0,0.037473,0.983428,SHORT,SHORT,1,0.0,0.001159,0.0,4,4,0.0,0.0,0.081464,0.030243,0,0,4,4
dio_01nf,dio_0wsj,0.037936,0.983024,LONG,LONG,1,0.000761,0.0,0.0,4,2,0.024283,0.130805,0.0,0.0,4,2,0,0
dio_0qb3,dio_18wf,0.039684,0.981453,LONG,LONG,1,0.000109,0.0,0.0,4,2,0.00299,0.1536,0.0,0.0,4,2,0,0
dio_00eh,dio_11wp,0.040114,0.981056,SHORT,-,0,0.0,0.0,0.0,4,4,0.0,0.0,0.081464,0.0,0,0,4,0
dio_1uez,dio_1vb3,0.040569,0.980632,LONG,LONG,1,0.006853,0.0,0.0,3,4,0.307706,0.063969,0.0,0.0,2,4,0,0
dio_0uct,dio_1ll4,0.040754,0.980459,LONG,-,0,0.0,0.0,0.0,4,4,0.234003,0.0,0.0,0.0,3,0,0,0
dio_00eh,dio_12qo,0.042038,0.979234,SHORT,-,0,0.0,0.0,0.0,4,2,0.0,0.0,0.081464,0.0,0,0,4,0
dio_0nmi,dio_1tg9,0.043569,0.977728,LONG,LONG,1,0.000604,0.0,0.0,4,2,0.016255,0.1536,0.0,0.0,4,2,0,0
dio_0nv8,dio_0v36,0.044503,0.976786,SHORT,SHORT,1,0.0,0.010487,0.0,3,2,0.0,0.0,0.387766,0.1536,0,0,2,2
dio_0k53,dio_1uez,0.044819,0.976463,LONG,LONG,1,0.00844,0.0,0.0,2,3,0.1536,0.307706,0.0,0.0,2,2,0,0
dio_1tg9,dio_1uez,0.048482,0.972568,LONG,LONG,1,0.008412,0.0,0.0,2,3,0.1536,0.307706,0.0,0.0,2,2,0,0
dio_0fp8,dio_0lt6,0.049899,0.970988,SHORT,SHORT,1,0.0,0.041339,0.0,4,6,0.0,0.0,0.194951,0.313441,0,0,3,3
dio_0k53,dio_0nmi,0.050561,0.970236,LONG,LONG,1,0.000606,0.0,0.0,2,4,0.1536,0.016255,0.0,0.0,2,4,0,0
dio_081d,dio_0nmi,0.05097,0.969767,LONG,LONG,1,0.000593,0.0,0.0,2,4,0.149175,0.016255,0.0,0.0,2,4,0,0
dio_1ll4,dio_1mml,0.055628,0.964196,-,LONG,0,0.0,0.0,0.0,4,4,0.0,0.032318,0.0,0.0,0,4,0,0
dio_0nv8,dio_0vyd,0.056848,0.962667,SHORT,SHORT,1,0.0,0.009624,0.0,3,2,0.0,0.0,0.387766,0.138131,0,0,2,2
dio_052z,dio_0byw,0.058116,0.961049,LONG,LONG,1,0.235567,0.0,0.0,4,10,0.349178,1.0,0.0,0.0,2,1,0,0
dio_0f4h,dio_1uez,0.059492,0.959258,LONG,LONG,1,0.021088,0.0,0.0,4,3,0.20001,0.307706,0.0,0.0,3,2,0,0
dio_0n4c,dio_1r0h,0.060042,0.958533,SHORT,SHORT,1,0.0,0.116144,0.0,4,4,0.0,0.0,0.474472,0.528832,0,0,2,2
dio_0qyu,dio_1r0h,0.060365,0.958105,LONG,SHORT,0,0.0,0.0,0.018583,2,4,0.1536,0.0,0.0,0.528832,2,0,0,2
dio_01nf,dio_0nv8,0.062068,0.955814,LONG,SHORT,0,0.0,0.0,0.003257,4,3,0.024283,0.0,0.0,0.387766,4,0,0,2
dio_0dcm,dio_0qyu,0.063459,0.953903,SHORT,LONG,0,0.0,0.0,0.002228,2,2,0.0,0.1536,0.116029,0.0,0,2,2,0
dio_01nf,dio_0ifl,0.063569,0.95375,LONG,SHORT,0,0.0,0.0,0.000209,4,1,0.024283,0.0,0.0,0.068948,4,0,0,1
dio_0rgr,dio_1rka,0.064031,0.953108,LONG,LONG,1,0.000928,0.0,0.0,2,2,0.062677,0.121473,0.0,0.0,2,2,0,0
dio_01nf,dio_0i5m,0.065051,0.951674,LONG,SHORT,0,0.0,0.0,0.000765,4,2,0.024283,0.0,0.0,0.13238,4,0,0,2
dio_0ifl,dio_0v36,0.065189,0.951479,SHORT,SHORT,1,0.0,0.000673,0.0,1,2,0.0,0.0,0.068948,0.1536,0,0,1,2
dio_0i5m,dio_0v36,0.06667,0.949362,SHORT,SHORT,1,0.0,0.002461,0.0,2,2,0.0,0.0,0.13238,0.1536,0,0,2,2
dio_0dcm,dio_1r0h,0.067139,0.948684,SHORT,SHORT,1,0.0,0.015374,0.0,2,4,0.0,0.0,0.116029,0.528832,0,0,2,2
dio_0nmi,dio_1uez,0.068807,0.946241,LONG,LONG,1,0.001749,0.0,0.0,4,3,0.016255,0.307706,0.0,0.0,4,2,0,0
dio_0jqv,dio_1j78,0.070846,0.943192,SHORT,LONG,0,0.0,0.0,4.3e-05,2,2,0.0,0.007401,0.04526,0.0,0,2,2,0
dio_052z,dio_0n4c,0.071292,0.942515,LONG,SHORT,0,0.0,0.0,0.076401,4,4,0.349178,0.0,0.0,0.474472,2,0,0,2
dio_07mf,dio_1iuq,0.07221,0.941112,LONG,SHORT,0,0.0,0.0,0.001205,4,3,0.048108,0.0,0.0,0.070574,4,0,0,3
dio_0byw,dio_1r0h,0.072755,0.940274,LONG,SHORT,0,0.0,0.0,0.358104,10,4,1.0,0.0,0.0,0.528832,1,0,0,2
dio_0vyd,dio_0wsj,0.074119,0.938154,SHORT,LONG,0,0.0,0.0,0.002249,2,2,0.0,0.130805,0.138131,0.0,0,2,2,0
